source_file,metric,model,column_name,total_rows,blank_count,nonblank_count,blank_rate
OEQ_full_results.csv,validation,Claude,validation_Claude,3027,5,3022,0.0016518004625041295
OEQ_full_results.csv,validation,Gemini,validation_Gemini,3027,11,3016,0.003633961017509085
OEQ_full_results.csv,validation,GPT-4o,validation_GPT-4o,3027,7,3020,0.0023125206475057814
OEQ_full_results.csv,validation,Human,validation_Human,3027,4,3023,0.0013214403700033035
OEQ_full_results.csv,validation,Llama-8B,validation_Llama-8B,3027,23,3004,0.007598282127518996
OEQ_full_results.csv,validation,Llama-17B,validation_Llama-17B,3027,2,3025,0.0006607201850016518
OEQ_full_results.csv,validation,Llama-70B,validation_Llama-70B,3027,25,3002,0.008259002312520648
OEQ_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,3027,12,3015,0.003964321110009911
OEQ_full_results.csv,validation,Mistral-24B,validation_Mistral-24B,3027,0,3027,0.0
OEQ_full_results.csv,validation,Qwen,validation_Qwen,3027,0,3027,0.0
OEQ_full_results.csv,validation,DeepSeek,validation_DeepSeek,3027,0,3027,0.0
OEQ_full_results.csv,validation,GPT-5,validation_GPT-5,3027,0,3027,0.0
OEQ_full_results.csv,indirectness,Claude,indirectness_Claude,3027,1,3026,0.0003303600925008259
OEQ_full_results.csv,indirectness,Gemini,indirectness_Gemini,3027,141,2886,0.04658077304261645
OEQ_full_results.csv,indirectness,GPT-4o,indirectness_GPT-4o,3027,95,2932,0.03138420878757846
OEQ_full_results.csv,indirectness,Human,indirectness_Human,3027,0,3027,0.0
OEQ_full_results.csv,indirectness,Llama-8B,indirectness_Llama-8B,3027,133,2894,0.043937892302609846
OEQ_full_results.csv,indirectness,Llama-17B,indirectness_Llama-17B,3027,12,3015,0.003964321110009911
OEQ_full_results.csv,indirectness,Llama-70B,indirectness_Llama-70B,3027,152,2875,0.050214734060125533
OEQ_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,3027,130,2897,0.04294681202510737
OEQ_full_results.csv,indirectness,Mistral-24B,indirectness_Mistral-24B,3027,18,3009,0.005946481665014866
OEQ_full_results.csv,indirectness,Qwen,indirectness_Qwen,3027,1,3026,0.0003303600925008259
OEQ_full_results.csv,indirectness,DeepSeek,indirectness_DeepSeek,3027,0,3027,0.0
OEQ_full_results.csv,indirectness,GPT-5,indirectness_GPT-5,3027,0,3027,0.0
OEQ_full_results.csv,framing,Claude,framing_Claude,3027,38,2989,0.012553683515031383
OEQ_full_results.csv,framing,Gemini,framing_Gemini,3027,372,2655,0.12289395441030723
OEQ_full_results.csv,framing,GPT-4o,framing_GPT-4o,3027,278,2749,0.0918401057152296
OEQ_full_results.csv,framing,Human,framing_Human,3027,8,3019,0.002642880740006607
OEQ_full_results.csv,framing,Llama-8B,framing_Llama-8B,3027,623,2404,0.20581433762801454
OEQ_full_results.csv,framing,Llama-17B,framing_Llama-17B,3027,17,3010,0.0056161215725140405
OEQ_full_results.csv,framing,Llama-70B,framing_Llama-70B,3027,801,2226,0.26461843409316155
OEQ_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,3027,409,2618,0.1351172778328378
OEQ_full_results.csv,framing,Mistral-24B,framing_Mistral-24B,3027,309,2718,0.10208126858275521
OEQ_full_results.csv,framing,Qwen,framing_Qwen,3027,0,3027,0.0
OEQ_full_results.csv,framing,DeepSeek,framing_DeepSeek,3027,0,3027,0.0
OEQ_full_results.csv,framing,GPT-5,framing_GPT-5,3027,0,3027,0.0
