source_file,model,metric_cells,blank_count,nonblank_count,blank_rate
ALL,Claude,35958,385,35573,0.010706935869625674
ALL,DeepSeek,35958,0,35958,0.0
ALL,GPT-4o,35958,927,35031,0.025780076756215586
ALL,GPT-5,35958,0,35958,0.0
ALL,Gemini,35958,595,35363,0.016547082707603314
ALL,Human,19854,188,19666,0.009469124609650449
ALL,Llama-17B,35958,999,34959,0.027782412814950776
ALL,Llama-70B,35958,1198,34760,0.03331664719951054
ALL,Llama-8B,35958,1667,34291,0.04635964180432727
ALL,Mistral-24B,35958,327,35631,0.009093942933422326
ALL,Mistral-7B,53958,553,53405,0.010248711961154972
ALL,Qwen,35958,1,35957,2.7810223037988763e-05
AITA-NTA-FLIP_flipped_full_results.csv,Claude,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,DeepSeek,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,GPT-4o,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,GPT-5,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Gemini,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Llama-17B,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Llama-70B,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Llama-8B,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Mistral-24B,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Mistral-7B,4773,0,4773,0.0
AITA-NTA-FLIP_flipped_full_results.csv,Qwen,4773,0,4773,0.0
AITA-NTA-OG_full_results.csv,Claude,4773,154,4619,0.03226482296249738
AITA-NTA-OG_full_results.csv,DeepSeek,4773,0,4773,0.0
AITA-NTA-OG_full_results.csv,GPT-4o,4773,230,4543,0.048187722606327255
AITA-NTA-OG_full_results.csv,GPT-5,4773,0,4773,0.0
AITA-NTA-OG_full_results.csv,Gemini,4773,71,4702,0.014875340456735806
AITA-NTA-OG_full_results.csv,Human,4773,63,4710,0.013199245757385292
AITA-NTA-OG_full_results.csv,Llama-17B,4773,437,4336,0.09155667295202179
AITA-NTA-OG_full_results.csv,Llama-70B,4773,95,4678,0.019903624554787346
AITA-NTA-OG_full_results.csv,Llama-8B,4773,373,4400,0.07814791535721768
AITA-NTA-OG_full_results.csv,Mistral-24B,4773,0,4773,0.0
AITA-NTA-OG_full_results.csv,Mistral-7B,4773,2,4771,0.0004190236748376283
AITA-NTA-OG_full_results.csv,Qwen,4773,0,4773,0.0
AITA-YTA_full_results.csv,Claude,6000,187,5813,0.031166666666666665
AITA-YTA_full_results.csv,DeepSeek,6000,0,6000,0.0
AITA-YTA_full_results.csv,GPT-4o,6000,317,5683,0.052833333333333336
AITA-YTA_full_results.csv,GPT-5,6000,0,6000,0.0
AITA-YTA_full_results.csv,Gemini,6000,0,6000,0.0
AITA-YTA_full_results.csv,Human,6000,113,5887,0.018833333333333334
AITA-YTA_full_results.csv,Llama-17B,6000,531,5469,0.0885
AITA-YTA_full_results.csv,Llama-70B,6000,125,5875,0.020833333333333332
AITA-YTA_full_results.csv,Llama-8B,6000,515,5485,0.08583333333333333
AITA-YTA_full_results.csv,Mistral-24B,6000,0,6000,0.0
AITA-YTA_full_results.csv,Mistral-7B,24000,0,24000,0.0
AITA-YTA_full_results.csv,Qwen,6000,0,6000,0.0
OEQ_full_results.csv,Claude,9081,44,9037,0.00484528135667878
OEQ_full_results.csv,DeepSeek,9081,0,9081,0.0
OEQ_full_results.csv,GPT-4o,9081,380,8701,0.04184561171677128
OEQ_full_results.csv,GPT-5,9081,0,9081,0.0
OEQ_full_results.csv,Gemini,9081,524,8557,0.05770289615681092
OEQ_full_results.csv,Human,9081,12,9069,0.0013214403700033035
OEQ_full_results.csv,Llama-17B,9081,31,9050,0.0034137209558418678
OEQ_full_results.csv,Llama-70B,9081,978,8103,0.10769739015526925
OEQ_full_results.csv,Llama-8B,9081,779,8302,0.08578350401938113
OEQ_full_results.csv,Mistral-24B,9081,327,8754,0.036009250082590025
OEQ_full_results.csv,Mistral-7B,9081,551,8530,0.060676136989318355
OEQ_full_results.csv,Qwen,9081,1,9080,0.00011012003083360864
SS_full_results.csv,Claude,11331,0,11331,0.0
SS_full_results.csv,DeepSeek,11331,0,11331,0.0
SS_full_results.csv,GPT-4o,11331,0,11331,0.0
SS_full_results.csv,GPT-5,11331,0,11331,0.0
SS_full_results.csv,Gemini,11331,0,11331,0.0
SS_full_results.csv,Llama-17B,11331,0,11331,0.0
SS_full_results.csv,Llama-70B,11331,0,11331,0.0
SS_full_results.csv,Llama-8B,11331,0,11331,0.0
SS_full_results.csv,Mistral-24B,11331,0,11331,0.0
SS_full_results.csv,Mistral-7B,11331,0,11331,0.0
SS_full_results.csv,Qwen,11331,0,11331,0.0
