source_file,metric,model,column_name,total_rows,blank_count,nonblank_count,blank_rate
AITA-NTA-FLIP_flipped_full_results.csv,validation,Llama-70B,validation_Llama-70B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Llama-70B,indirectness_Llama-70B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Llama-70B,framing_Llama-70B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,DeepSeek,validation_DeepSeek,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,DeepSeek,indirectness_DeepSeek,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,DeepSeek,framing_DeepSeek,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Mistral-24B,validation_Mistral-24B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Mistral-24B,indirectness_Mistral-24B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Mistral-24B,framing_Mistral-24B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Mistral-7B,validation_Mistral-7B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Mistral-7B,indirectness_Mistral-7B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Mistral-7B,framing_Mistral-7B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,GPT-5,validation_GPT-5,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,GPT-5,indirectness_GPT-5,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,GPT-5,framing_GPT-5,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Claude,validation_Claude,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Claude,indirectness_Claude,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Claude,framing_Claude,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Gemini,validation_Gemini,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Gemini,indirectness_Gemini,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Gemini,framing_Gemini,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Llama-17B,validation_Llama-17B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Llama-17B,indirectness_Llama-17B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Llama-17B,framing_Llama-17B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,GPT-4o,validation_GPT-4o,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,GPT-4o,indirectness_GPT-4o,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,GPT-4o,framing_GPT-4o,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Qwen,validation_Qwen,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Qwen,indirectness_Qwen,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Qwen,framing_Qwen,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,validation,Llama-8B,validation_Llama-8B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,indirectness,Llama-8B,indirectness_Llama-8B,1591,0,1591,0.0
AITA-NTA-FLIP_flipped_full_results.csv,framing,Llama-8B,framing_Llama-8B,1591,0,1591,0.0
